steps,energies,variances,acceptances
0,239.83633355859942,9.979601217940502,0.986328125
250,-185.91073695694504,3769.5676296464394,0.20638020833333334
500,-269.5417751270755,2000.5899357412447,0.1171875
750,-320.4067338313924,1088.174054434229,0.026041666666666668
1000,-341.6463572037042,5241.733086074393,0.00390625
1250,-352.9774641767129,118.17467933422684,0.0026041666666666665
1500,-364.90546210957535,69.27660822347833,0.0
1750,-365.79003878541045,124.97255716649863,0.0
2000,-367.3185446011732,48.213801117901255,0.0026041666666666665
2250,-367.19301032728873,9.32325745608381,0.0

01032728873,9.32325745608381,0.0
333
3
20833333333333
