steps,energies,variances,acceptances
0,599.1892808978524,83.13311016924423,0.9774305555555556
80,-366.24765400465793,25969.468171065953,0.2866753472222222
160,-541.3696674122004,8433.6318298016,0.17664930555555555
240,-618.6499099435061,8081.941788047491,0.1154513888888889
320,-658.5316663594834,6630.469708885048,0.0954861111111111
400,-692.1812895732313,3216.2773573266836,0.07074652777777778
480,-718.1427519895764,1909.0482146138954,0.055338541666666664
560,-747.3174497161857,1191.4522684946674,0.040581597222222224
640,-767.9368683354714,1900.5976662096898,0.04904513888888889
720,-792.6497851479594,800.9717481166093,0.005425347222222222
